restfulprice,11/28/16,2205,30792
restfulprice,11/29/16,2287,26529
restfulprice,11/30/16,2839,28381
restfulprice,12/1/16,1946,26573
restfulprice,12/10/16,2035,24375
restfulprice,12/11/16,1563,15997
restfulprice,12/12/16,2377,34101
restfulprice,12/13/16,2580,36574
restfulprice,12/14/16,2796,4940
restfulprice,12/2/16,1925,26534
restfulprice,12/3/16,1784,15518
restfulprice,12/4/16,2037,23884
restfulprice,12/5/16,2414,24545
restfulprice,12/6/16,2341,26156
restfulprice,12/7/16,2251,37533
restfulprice,12/8/16,2186,30845
restfulprice,12/9/16,2250,27113
+++++
restfultax,11/12/16,887,6
restfultax,11/13/16,1181,16
restfultax,11/14/16,612,61
restfultax,11/15/16,688,99
restfultax,11/16/16,393,28
restfultax,11/17/16,743,54
restfultax,11/18/16,316,16
restfultax,11/19/16,901,23
restfultax,11/20/16,1318,10
restfultax,11/21/16,461,60
restfultax,11/22/16,684,85
restfultax,11/23/16,515,31
restfultax,11/24/16,304,36
restfultax,11/25/16,188,14
restfultax,11/26/16,932,19
restfultax,11/27/16,473,8
restfultax,11/28/16,539,81
restfultax,11/29/16,594,39
restfultax,11/30/16,399,61
restfultax,12/1/16,870,47
restfultax,12/10/16,530,8
restfultax,12/11/16,625,14
restfultax,12/12/16,796,88
restfultax,12/13/16,624,66
restfultax,12/14/16,133,6
restfultax,12/2/16,475,53
restfultax,12/3/16,583,10
restfultax,12/4/16,1112,2
restfultax,12/5/16,976,126
restfultax,12/6/16,922,54
restfultax,12/7/16,593,59
restfultax,12/8/16,1144,61
restfultax,12/9/16,416,55
+++++
sdma,11/13/16,5989,1
sdma,11/14/16,5228,4
sdma,11/15/16,4690,4
sdma,11/16/16,4885,2
sdma,11/17/16,3756,6
sdma,11/18/16,4674,3
sdma,11/19/16,5238,1
sdma,11/20/16,4576,1
sdma,11/21/16,5668,1
sdma,11/22/16,4116,4
sdma,11/23/16,4800,2
sdma,11/24/16,5774,2
sdma,11/25/16,5747,1
sdma,11/27/16,5229,2
sdma,11/28/16,4276,4
sdma,11/29/16,7247,3
sdma,11/30/16,6899,3
sdma,12/1/16,5296,3
sdma,12/10/16,2021,1
sdma,12/12/16,5526,7
sdma,12/13/16,5276,2
sdma,12/14/16,4790,1
sdma,12/2/16,5100,5
sdma,12/3/16,4749,1
sdma,12/5/16,5426,4
sdma,12/6/16,5386,1
sdma,12/7/16,4948,4
sdma,12/8/16,4213,7
sdma,12/9/16,5247,10
+++++
subscriptions,11/12/16,569,36
subscriptions,11/13/16,571,69
subscriptions,11/14/16,586,150
subscriptions,11/15/16,799,134
subscriptions,11/16/16,781,120
subscriptions,11/17/16,711,169
subscriptions,11/18/16,767,71
subscriptions,11/19/16,557,63
subscriptions,11/20/16,578,51
subscriptions,11/21/16,657,88
subscriptions,11/22/16,573,187
subscriptions,11/23/16,658,73
subscriptions,11/24/16,674,117
subscriptions,11/25/16,582,415
subscriptions,11/26/16,534,556
subscriptions,11/27/16,523,616
subscriptions,11/28/16,549,635
subscriptions,11/29/16,595,894
subscriptions,11/30/16,537,767
subscriptions,12/1/16,513,657
subscriptions,12/10/16,628,46
subscriptions,12/11/16,673,57
subscriptions,12/12/16,785,101
subscriptions,12/13/16,754,74
subscriptions,12/14/16,582,11
subscriptions,12/2/16,526,640
subscriptions,12/3/16,565,408
subscriptions,12/4/16,572,416
subscriptions,12/5/16,591,523
subscriptions,12/6/16,975,582
subscriptions,12/7/16,1116,459
subscriptions,12/8/16,985,112
subscriptions,12/9/16,668,51
+++++
userlookup,11/12/16,387,78
userlookup,11/13/16,410,141
userlookup,11/14/16,486,360
userlookup,11/15/16,480,310
userlookup,11/16/16,450,301
userlookup,11/17/16,442,395
userlookup,11/18/16,524,195
userlookup,11/19/16,437,136
userlookup,11/20/16,529,107
userlookup,11/21/16,578,236
userlookup,11/22/16,467,443
userlookup,11/23/16,536,184
userlookup,11/24/16,466,270
userlookup,11/25/16,464,896
userlookup,11/26/16,509,1266
userlookup,11/27/16,470,1365
userlookup,11/28/16,525,1500
userlookup,11/29/16,494,2103
userlookup,11/30/16,536,1828
userlookup,12/1/16,451,1539
userlookup,12/10/16,483,106
userlookup,12/11/16,425,123
userlookup,12/12/16,493,259
userlookup,12/13/16,530,216
userlookup,12/14/16,623,31
userlookup,12/2/16,455,1529
userlookup,12/3/16,475,1003
userlookup,12/4/16,438,931
userlookup,12/5/16,536,1250
userlookup,12/6/16,455,1359
userlookup,12/7/16,766,1024
userlookup,12/8/16,795,276
userlookup,12/9/16,529,158
